Date,Open,High,Low,Close,Adj Close,Volume
2015-04-15,415.000000,422.600006,406.100006,411.350006,402.319305,947070
2015-04-16,411.350006,417.500000,396.649994,406.250000,397.331268,884632
2015-04-17,403.000000,407.950012,393.250000,395.049988,386.377136,603542
2015-04-20,396.000000,403.799988,392.049988,394.950012,386.279327,934634
2015-04-21,401.000000,401.399994,388.750000,392.250000,383.638641,657263
2015-04-22,393.399994,397.500000,389.200012,396.100006,387.404114,517359
2015-04-23,398.100006,404.649994,392.000000,403.450012,394.592743,743194
2015-04-24,405.000000,405.500000,390.000000,395.899994,387.208466,738949
2015-04-27,398.700012,398.700012,383.000000,386.500000,378.014893,947654
2015-04-28,386.000000,390.549988,382.000000,386.149994,377.672577,612828
2015-04-29,387.899994,388.600006,380.000000,381.850006,373.466919,866439
2015-04-30,380.399994,386.850006,379.950012,382.799988,374.396088,2267714
2015-05-04,384.799988,394.250000,382.250000,385.250000,376.792297,462963
2015-05-05,386.100006,388.700012,380.250000,384.399994,375.960968,593407
2015-05-06,382.649994,386.000000,368.000000,383.399994,374.982941,1719756
2015-05-07,383.899994,385.799988,365.250000,369.549988,361.436951,1729099
2015-05-08,340.000000,357.700012,334.350006,353.600006,345.837158,5691342
2015-05-11,352.000000,371.399994,346.200012,367.649994,359.578674,1343524
2015-05-12,369.450012,369.450012,356.000000,362.750000,354.786285,901977
2015-05-13,362.200012,369.000000,357.950012,367.399994,359.334167,837838
2015-05-14,363.549988,366.000000,360.100006,362.899994,354.932983,527009
2015-05-15,363.100006,371.000000,363.100006,367.950012,359.872101,557137
2015-05-18,367.750000,379.899994,365.049988,378.750000,370.434998,796620
2015-05-19,378.750000,381.899994,373.600006,379.549988,371.217438,711652
2015-05-20,381.000000,383.799988,375.000000,376.149994,367.892090,476821
2015-05-21,372.600006,381.000000,372.600006,376.000000,367.745361,351909
2015-05-22,374.149994,378.450012,369.000000,370.450012,362.317261,438670
2015-05-25,367.049988,372.500000,364.649994,371.000000,362.855133,406302
2015-05-26,373.000000,373.600006,366.500000,370.600006,362.463928,251010
2015-05-27,368.049988,375.500000,366.899994,372.200012,364.028809,215459
2015-05-28,375.000000,385.799988,365.500000,380.250000,371.902100,1467589
2015-05-29,381.000000,381.000000,372.200012,378.299988,369.994873,312544
2015-06-01,375.100006,379.600006,373.049988,376.299988,368.038788,232939
2015-06-02,378.450012,378.450012,367.200012,368.950012,360.850159,322834
2015-06-03,369.899994,370.950012,355.500000,367.649994,359.578674,407702
2015-06-04,365.850006,366.600006,355.899994,361.500000,353.563690,331402
2015-06-05,357.549988,370.850006,354.250000,363.750000,355.764313,513150
2015-06-08,364.500000,366.299988,351.200012,352.950012,345.201447,275247
2015-06-09,350.049988,360.899994,350.049988,359.549988,351.656555,400693
2015-06-10,359.250000,366.500000,359.000000,364.700012,356.693481,423122
2015-06-11,365.299988,368.000000,351.950012,353.700012,345.934967,402824
2015-06-12,353.450012,356.000000,345.100006,347.950012,340.311188,306206
2015-06-15,345.000000,352.350006,343.000000,344.250000,336.692383,502073
2015-06-16,346.000000,349.649994,337.500000,347.149994,339.528717,794358
2015-06-17,349.899994,355.500000,345.200012,353.950012,346.179443,554088
2015-06-18,353.149994,360.500000,350.100006,358.799988,350.922974,375925
2015-06-19,360.649994,361.200012,352.200012,358.200012,350.336151,499477
2015-06-22,357.350006,368.899994,356.000000,366.250000,358.209442,503127
2015-06-23,367.799988,368.000000,355.850006,357.250000,349.407043,581280
2015-06-24,357.600006,361.899994,354.049988,356.600006,348.771301,1036071
2015-06-25,353.000000,355.950012,348.950012,352.850006,345.103607,2374867
2015-06-26,352.899994,361.500000,350.250000,360.149994,352.243347,972326
2015-06-29,354.649994,360.000000,350.149994,358.850006,350.971863,521388
2015-06-30,358.850006,370.250000,355.100006,366.299988,358.258331,928099
2015-07-01,365.000000,366.950012,360.549988,361.899994,353.954926,581426
2015-07-02,362.250000,363.250000,352.350006,355.250000,347.450897,1301446
2015-07-03,349.500000,359.500000,349.500000,357.299988,349.455872,640953
2015-07-06,352.049988,357.950012,352.000000,355.850006,348.037750,606970
2015-07-07,356.000000,362.950012,355.600006,361.049988,353.123566,622813
2015-07-08,356.100006,360.000000,351.250000,354.950012,347.157501,743184
2015-07-09,355.450012,361.899994,354.000000,359.700012,351.803223,492767
2015-07-10,360.200012,364.450012,354.450012,355.799988,347.988861,675678
2015-07-13,356.500000,358.500000,352.399994,357.299988,349.455872,349986
2015-07-14,357.799988,363.649994,356.000000,359.850006,351.949921,483292
2015-07-15,358.700012,358.700012,348.350006,350.750000,343.049713,597184
2015-07-16,350.000000,353.850006,348.500000,350.649994,342.951874,330307
2015-07-17,348.500000,353.600006,347.100006,348.950012,343.542633,557575
2015-07-20,349.000000,351.299988,344.000000,345.149994,339.801483,808216
2015-07-21,346.000000,346.899994,338.049988,339.750000,334.485168,475068
2015-07-22,339.000000,340.000000,333.350006,338.000000,332.762268,810073
